Judul|Pengarang|Favorit
The Esper’s Game|Plan A / Two-zero|313413
+99 Reinforced Wooden Stick|HONGSIL / JIPERY|617130
A Chance at Last|Dindon / Seo hye eun|714658
Mythic Item Obtained|Hess / Jung SeonYul|248459
Hero Killer|Kkulbeol / Beolkkul|1400000
The Master of Tutorial Tower|Indoor Kim / ohmagam|2800000
Ranker's Return|zuno / B-ram|344274
The World After the Fall|Undead Gamja / S-Cynan|653775
66,666 Years: Advent of the Dark Mage|PASA / TARU|549303
Murim RPG Simulation|Hyung Geun Cho / Kwang Hwi|535908
The Druid of Seoul Station|Mun sung ho / liveBEAR|903706
The Gamer|Sangyoung Seong / Sang-A|9800000
Returned as the Duke|Choi Bong-geun (AKEO Studio) / Lee Ha Zoo|37153
I Became the Tyrant of a Defense Game|Gyong / Ha Jung|51986
Player|JSP / SSAMBA|1200000
Mr. Magic Man|Tyrs / RD|301823
DARK MOON: THE GREY CITY|HYBE|167629
The Chosen|E A L|2800000
The Lone Necromancer|KIM KYOUNG-YEOL / KIM DONG-JUN|592304
Godly Idol|White Bear / RENA|499173
The Dungeon Cleaning Life of a Once Genius Hunter|GoilGoil / Dalbeat|121091
A.I. Doctor|Kuiq / ZAINO|212151
The Macho Florist|kumtata / Ju hyun hoo|1500000
The Monstrous|Lee jungwoo / Hong ingeun|231906
Auto Hunting With My Clones|opal / Mr. Cha|67677
My 990,000 Past Lives Help Me|Marucomics / Invader|87755
Crimson Heart|HYBE|163644
Dungeons & Artifacts|UMKY / Zerowater|127208
Assassin’s Creed: Forgotten Temple|Tabii / ARC|14491
No Scope|ZOYANG|688506
Surviving as a Fish|DONG9|238433
The Final Raid Boss|Kim Janghun / Ha Seongshin|258363
THE STAR SEEKERS|HYBE|589890
Bug Eater|26|149932
Kedok|xzbonbon|294645
DARK MOON: THE BLOOD ALTAR (Webnovel)|HYBE|126959
Crimson Heart (Webnovel)|HYBE|9252
7FATES: CHAKHO (Webnovel)|HYBE|169404
DARK MOON: THE GREY CITY (Webnovel)|HYBE|9909
THE STAR SEEKERS (Webnovel)|HYBE|84800
7FATES: CHAKHO|HYBE|1100000
LOSER LIFE|Taejoon Park / Sunwook jeon|2900000
Mystique|VAN JI|7600000
This Witch of Mine|MAS / Haeyoon|522602
Noblesse|Jeho Son / Kwangsu Lee|47200000
White Blood|Lim lina|6300000
Dandelion Repose|yunakatzen|1500000
The Blood of Madam Giselle|Lee Yunji|1600000
Swimming Class for Mermaid|YongChan|3500000
Sri Asih|Archie The RedCat / Devita Krisanti|1900000
Annarasumanara|Ilkwon Ha|253770
Eggnoid|Archie The RedCat|24900000
The Lost Harmony|Black chiz cake / Kobebeef|7400000
Virgo and the Sparklings|Annisa Nisfihani / Ellie Goh|12400000
Deadly 7 Inside Me|Deruu RioTa|7900000
Return My School Life|LICO|7400000
Noblesse spin-off|Jeho Son / Kwangsu Lee|890283
In A Dream|Cindy Chwa / Angellina|9900000
Aegis Orta|lunaria_co|12900000
A Wish on July 7th|moegi|112532
Nan Yak|HYUNJOO JEONG / JINHWAN PARK|6300000
Love Teleport|White  bear / Baogu|1400000
Switched Girls|Haohow|6600000
SUPER CASTING: BTS|LINE WEBTOON|783010
Kawan Kelam|Lee JongHyeok|2400000
Satan's Deepest Cry|DEDEWDEW211|784984
The God of High School|Yongje Park|20400000
NANO LIST|Songa Min|4500000
Nusantara Droid War|Vega Mandalika|7100000
DICE|Hyunseok Yun|11400000
The Retreats|Hyungwuk Shin / Sunhee Kim|123352
3cm Hunter|JRobin / B.Y|2300000
Rainbow Bridge|Ros and Fox|1200000
9 Lives|Aoi / Kyorin|2200000
Shadow|yunuji / haejin|172050
Recycle|RedGelato|1800000
Magical Change|Pal6|777077
Love Warp|Rafsan J. Arroisi|1900000
Eternals: The 500 Year War|Marvel|27824
Dreamscape|Budi Setiawan|200000
Locker, Opener|Maanchwee / BARUNFLOWER|634668
Mosquito War|JH|358702
The Girls are Monster|Kyriepoda|531210
Monster|eunjae lee|361106
Ganda|Nikki Dibya Wardhana / Linka08|297614
Secret of Aura|PIONICON|1300000
Mantradeva|Agung Bollo / Gusti Kudit|1500000
ALPHA|Bookyeom|405423
Super Santai|Nikki Dibya Wardhana / BENY|190867
Super Santai: Operasi Ramadhan|Nikki Dibya Wardhana / BENY|74372
Nano Mashin|GGBG / Great H|4700000
Ocean's Promise|Padhang Bulan|599194
Return to Player|UMKY / SEHON|100000
DEVIL SHOT|CTK|1200000
The Warrior Returns|NARACK / FUNGBACK|575567
7 Wonders|Metalu|13500000
Troll Trap|U.bi|8500000
What the Folk|nasibungkus|37675
Beyond Max Level|HONGSIL / MINo|1400000
Be A Poem|Chill Peeps|126102
The Second Marriage|Alphatart / HereLee|16300000
Who Stole the Empress?|Lee jihye|113351
The Father Returns|Sanbom / haeyeoneul|31181
I Thought My Time Was Up!|Essie / Hyeyong|170483
I'm the Queen in This Life|Themis / Omin|1500000
Sang Bayi Tiran|Awon / Lee Huin|114696
The Tyrant Wants to Be Good|KAKON / Ramguel|96728
I Wanna Be U|SAM|12600000
The Dragon King's Bride|SOY MEDIA / Kanghee Jamae|230551
Serena|Ina|100000
Lips Upon a Sword's Edge|Mwagwa / Pinku|860157
My In-laws Are Obsessed With Me|seungu / Han Yoon Seol|2400000
Cursed Blessing|Dalsaeowl / Hwam|6500000
The Problematic Prince|CACTUS / Solche|55729
I Can't Keep Up With My Duke|jaradog / ttangsagwa|1300000
The Little Princess and Her Monster Prince|Hagwa / Jang Namu|2600000
Bastian|Abin / Solche|280838
My Husband Changes Every Night|Yeoseulki / koo seul|247487
For My Derelict Favorite|Kimyong / Kim Seonyu|1300000
Rosalyn Vogart|MACH / SWE|519366
Divorcing My Tyrant Husband|Josara / Oh Youn Ha|540639
Leveling Up My Husband to the Max|Curlin / Uginon|400000
Taming My Ex Husband's Mad Dog|Jagae / CMJM|332568
A Royal Princess with Black Hair|Pang-e / Ellianyang|4700000
Born as the Second Daughter|New pangpang / Yong Wonchang|730621
Charming the Duke of the North|Stardustvia / gachunga|890026
